"","zipcode","estimate_households_under_10","estimate_households_10_15","estimate_households_15_25","estimate_households_25_35","estimate_households_35_45","estimate_households_50_75","estimate_households_75_100","estimate_households_100_150","estimate_households_150_200","estimate_households_over_200","median_income"
"29113","85128","9.1","4.1","11.1","12.7","15.2","21.5","11.6","11.4","2.6","0.8","45601"
"29114","85131","14.4","8.2","12.8","12.7","11.4","16.7","12.0","9.3","1.5","1.1","38142"
"29115","85132","6.3","3.6","8.7","10.2","17.6","24.0","14.4","10.3","3.1","1.9","54673"
"29116","85135","14.9","8.8","19.9","4.4","23.8","18.2","9.9","0.0","0.0","0.0","38375"
"29117","85137","1.8","1.8","16.9","19.8","8.6","20.2","15.0","11.8","1.9","2.1","53125"
"29118","85138","5.7","1.5","4.9","6.3","12.3","23.1","17.6","19.4","6.2","3.0","71176"
"29119","85139","8.7","2.5","8.4","11.3","15.0","21.7","13.0","13.4","3.9","2.1","56280"
"29120","85140","5.2","1.5","7.7","6.0","11.0","22.0","16.7","18.6","6.3","4.9","69648"
"29121","85141","9.9","0.0","22.0","10.6","12.1","18.4","11.3","15.6","0.0","0.0","39464"
"29122","85142","4.4","1.4","4.8","5.2","9.5","17.5","16.0","21.0","10.6","9.7","84344"
"29123","85143","6.9","2.4","6.2","7.7","14.1","22.7","17.3","16.6","3.5","2.6","62511"
