"","zipcode","total_population"
"1222","04548","825"
"1223","04551","650"
"1224","04553","1362"
"1225","04554","526"
"1226","04555","1293"
"1227","04556","1005"
"1228","04558","237"
"1229","04562","1778"
"1230","04563","1219"
"1231","04564","339"
"1232","04568","294"
"1233","04570","0"
"1234","04571","259"
"1235","04572","3884"
"1236","04573","413"
"1237","04574","1198"
"1238","04575","65"
"1239","04576","465"
"1240","04578","3335"
"1241","04579","2562"
"1242","04605","9792"
"1243","04606","1000"
"1244","04607","973"
"1245","04609","3433"
"1246","04611","395"
"1247","04612","439"
"1248","04613","139"
"1249","04614","1872"
"1250","04616","627"
"1251","04617","646"
"1252","04619","2156"
"1253","04622","1048"
"1254","04623","803"
"1255","04624","139"
"1256","04625","22"
"1257","04626","413"
"1258","04627","1121"
"1259","04628","569"
"1260","04629","79"
"1261","04630","1069"
"1262","04631","909"
"1263","04634","1459"
"1264","04635","52"
"1265","04637","105"
"1266","04640","1725"
"1267","04642","91"
"1268","04643","812"
"1269","04644","11"
"1270","04645","41"
"1271","04646","67"
"1272","04648","434"
"1273","04649","1034"
"1274","04650","187"
"1275","04652","1175"
"1276","04653","377"
"1277","04654","2186"
"1278","04655","770"
"1279","04657","282"
"1280","04658","963"
"1281","04660","1032"
"1282","04662","330"
"1283","04664","934"
"1284","04666","890"
"1285","04667","1326"
"1286","04668","1336"
"1287","04669","165"
"1288","04671","470"
"1289","04673","76"
"1290","04674","342"
"1291","04675","182"
"1292","04676","866"
"1293","04677","190"
"1294","04679","1301"
"1295","04680","869"
"1296","04681","780"
"1297","04683","83"
"1298","04684","1132"
"1299","04685","270"
"1300","04686","79"
"1301","04691","364"
"1302","04693","376"
"1303","04694","1902"
"1304","04730","7677"
"1305","04732","1260"
"1306","04733","192"
"1307","04734","687"
"1308","04735","513"
"1309","04736","7597"
"1310","04739","785"
"1311","04740","1034"
"1312","04741","2"
"1313","04742","2746"
"1314","04743","3487"
"1315","04745","939"
"1316","04746","361"
"1317","04747","1089"
"1318","04750","1574"
"1319","04756","2383"
"1320","04757","2366"
"1321","04758","1166"
"1322","04760","635"
"1323","04761","414"
"1324","04762","512"
"1325","04763","586"
"1326","04764","53"
"1327","04765","959"
"1328","04766","319"
"1329","04768","308"
"1330","04769","6712"
"1331","04772","585"
"1332","04773","592"
"1333","04774","558"
"1334","04776","742"
"1335","04777","341"
"1336","04779","336"
"1337","04780","676"
"1338","04781","446"
"1339","04783","334"
"1340","04785","1797"
"1341","04786","1604"
"1342","04787","431"
"1343","04841","4769"
"1344","04843","3477"
"1345","04847","1290"
"1346","04848","414"
"1347","04849","2893"
"1348","04851","45"
"1349","04852","40"
"1350","04853","275"
"1351","04854","1206"
"1352","04855","244"
"1353","04856","2708"
"1354","04858","1216"
"1355","04859","566"
"1356","04860","1206"
"1357","04861","2097"
"1358","04862","2851"
"1359","04863","863"
"1360","04864","3107"
"1361","04901","17601"
"1362","04910","1654"
"1363","04911","1607"
"1364","04912","827"
"1365","04915","6412"
